Osm_mOsm  	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
300.0000  	52.8301   	1830.5614 	15.1773   	0.1414    	7.0702    
300.0000  	30.5855   	1059.7866 	12.6495   	0.0260    	38.4267   
300.0000  	32.6234   	1130.3994 	12.9244   	0.0338    	29.6296   
300.0000  	38.1991   	1323.5993 	13.6224   	0.0462    	21.6520   
300.0000  	19.6151   	679.6631  	10.9085   	0.0179    	55.8129   
300.0000  	34.4275   	1192.9137 	13.1584   	0.0354    	28.2736   
300.0000  	24.4943   	848.7270  	11.7469   	0.0225    	44.5136   
300.0000  	32.0316   	1109.8954 	12.8458   	0.0265    	37.6818   
300.0000  	32.9088   	1140.2893 	12.9620   	0.0334    	29.9701   
300.0000  	45.6343   	1581.2298 	14.4544   	0.0770    	12.9910   
300.0000  	31.1467   	1079.2328 	12.7264   	0.0430    	23.2522   
300.0000  	44.6106   	1545.7564 	14.3454   	0.0863    	11.5939   
300.0000  	38.5857   	1336.9942 	13.6682   	0.0555    	18.0029   
300.0000  	30.0457   	1041.0841 	12.5746   	0.0256    	39.1363   
300.0000  	35.4175   	1227.2169 	13.2833   	0.0459    	21.7647   
300.0000  	37.4132   	1296.3687 	13.5283   	0.0398    	25.1471   
300.0000  	25.8162   	894.5297  	11.9545   	0.0202    	49.5189   
300.0000  	48.3398   	1674.9742 	14.7345   	0.2327    	4.2967    
300.0000  	23.8227   	825.4554  	11.6385   	0.0225    	44.4099   
300.0000  	36.2804   	1257.1152 	13.3904   	0.0445    	22.4715   
300.0000  	32.9583   	1142.0040 	12.9685   	0.0386    	25.8939   
300.0000  	25.5539   	885.4416  	11.9139   	0.0260    	38.4897   
300.0000  	42.1787   	1461.4906 	14.0799   	0.0589    	16.9726   
300.0000  	35.8414   	1241.9052 	13.3361   	0.0377    	26.5240   
300.0000  	25.3752   	879.2521  	11.8861   	0.0221    	45.1524   
300.0000  	35.8025   	1240.5573 	13.3313   	0.0476    	21.0139   
300.0000  	32.2875   	1118.7602 	12.8799   	0.0339    	29.4694   
300.0000  	37.2055   	1289.1705 	13.5032   	0.0653    	15.3205   
300.0000  	33.7828   	1170.5741 	13.0758   	0.0303    	32.9930   
300.0000  	51.1389   	1771.9636 	15.0136   	0.1008    	9.9231    
300.0000  	35.4574   	1228.6003 	13.2883   	0.0410    	24.3836   
300.0000  	34.0616   	1180.2352 	13.1116   	0.0340    	29.4410   
300.0000  	24.6687   	854.7716  	11.7747   	0.0229    	43.7541   
