Osmo_mOsm	Area_um2	DiameterA_um	Volume_um3	DiameterV_um	Deformation	
200	126.1196	12.672035	804.66893	11.54001	0.070914507
200	158.7766	14.218321	1181.3675	13.115821	0.082579494
200	172.3596	14.814016	1281.6297	13.476837	0.094940424
200	145.1358	13.593846	975.4582	12.304671	0.089795411
200	173.6312	14.868561	1208.5939	13.215814	0.094971776
200	162.5914	14.388113	1172.3413	13.082331	0.087020516
200	202.87801	16.072097	1629.9073	14.601185	0.087700486
200	121.43781	12.434606	780.77148	11.42462	0.061483264
200	167.44659	14.601357	1238.9492	13.325544	0.088298619
200	199.75681	15.947986	1698.3355	14.802723	0.085523605
200	134.44281	13.083497	885.58497	11.914538	0.093780279
200	165.886	14.533156	1239.0389	13.325866	0.093314111
200	167.15761	14.588752	1168.8593	13.069366	0.11213857
200	128.54721	12.793412	848.29124	11.744885	0.067024708
200	227.61641	17.023813	2002.3721	15.638031	0.072903574
200	119.0102	12.309691	682.4545	10.923413	0.118891
200	115.2532	12.113832	704.55266	11.040065	0.072286487
200	151.66721	13.896355	1028.3769	12.523274	0.092994392
200	176.63681	14.996699	1307.2894	13.566184	0.10353142
200	215.47841	16.563684	1820.8823	15.150527	0.086146116
200	149.18181	13.782024	1039.5833	12.568599	0.10401922
200	156.5802	14.119635	1071.7879	12.697067	0.088658512
200	162.5914	14.388113	1176.0687	13.096182	0.099811018
200	214.84261	16.539229	1785.8567	15.052755	0.090775847
200	138.3154	13.270593	928.05613	12.102039	0.082446933
200	132.36201	12.981855	885.80858	11.915541	0.074344993
200	180.16261	15.145632	1364.3267	13.760681	0.073243141
200	146.46519	13.655961	1048.0081	12.60246	0.06607008
200	146.92761	13.677501	1030.8522	12.533314	0.071671486
200	124.9058	12.610908	885.57303	11.914484	0.037873387
200	185.01779	15.348354	1417.1944	13.936175	0.092229605
200	212.12601	16.434331	1694.9511	14.792884	0.11834419
200	120.80201	12.402012	760.5707	11.325229	0.062927783
200	176.29001	14.98197	1282.9865	13.481591	0.098104239
200	115.48441	12.125977	738.38109	11.214002	0.050930202
200	184.382	15.32196	1363.1103	13.75659	0.10234249
200	140.8586	13.39204	952.1275	12.205779	0.082581043
200	218.36841	16.67439	1887.5045	15.333094	0.079398453
200	164.49881	14.472263	1188.8618	13.143496	0.090452075
200	144.5578	13.56675	980.54014	12.326002	0.089737117
200	87.046799	10.527651	476.56878	9.6911576	0.063625932
200	149.47079	13.795366	1059.6403	12.648915	0.082314134
200	99.878403	11.276929	574.52278	10.314216	0.088954508
200	139.93381	13.348006	962.76647	12.251073	0.071522653
200	169.1228	14.674258	1231.8564	13.300067	0.098749101
200	268.13422	18.476988	2411.3575	16.637484	0.10854232
200	161.08861	14.321466	1199.1771	13.181401	0.079252958
200	136.81261	13.198304	906.21141	12.006331	0.084800124
200	225.8246	16.956675	1960.0783	15.527145	0.092134237
200	235.7084	17.323777	2044.4735	15.746872	0.093135834
200	221.77859	16.804085	1889.349	15.338087	0.085247397
200	148.60381	13.755299	1078.5618	12.72376	0.077577531
200	170.97241	14.754282	1342.1506	13.685717	0.072315395
200	194.9016	15.752981	1530.1525	14.297015	0.094822228
200	164.73	14.482429	1164.6491	13.053656	0.10732752
200	137.6796	13.240057	929.82779	12.109735	0.074987113
200	121.66901	12.446437	784.74105	11.443949	0.062916636
200	122.7094	12.499539	770.12538	11.372456	0.084379435
200	139.1246	13.309356	973.1822	12.295094	0.06171912
200	183.9774	15.30514	1366.5371	13.768108	0.10560435
200	152.30301	13.925452	1058.8655	12.645831	0.081598103
200	146.11841	13.639785	1030.0624	12.530112	0.080970883
200	148.77721	13.763322	1111.5065	12.852012	0.063214004
200	156.00221	14.093551	1107.3399	12.835933	0.078727186
200	188.25461	15.482029	1481.7291	14.14458	0.080303848
200	144.3266	13.555897	955.74365	12.221212	0.083911061
200	191.60699	15.61927	1547.8505	14.351924	0.078831613
200	130.339	12.882266	837.72498	11.695917	0.10465384
200	125.8306	12.657507	831.93549	11.668911	0.058461368
200	145.0202	13.588431	985.38054	12.346252	0.080227673
200	131.09039	12.919345	857.65501	11.787942	0.087371349
200	184.382	15.32196	1416.7538	13.934731	0.10370648
200	230.62199	17.135841	1912.2586	15.399833	0.12739682
200	133.98041	13.060978	888.17368	11.926136	0.085779369
200	190.0464	15.555533	1468.4103	14.102072	0.087659538
200	144.1532	13.547751	992.47781	12.375822	0.088213027
200	141.4944	13.42223	952.30678	12.206545	0.10520518
200	130.05	12.867976	840.2565	11.707687	0.075152636
200	158.7766	14.218321	1182.9922	13.12183	0.07896924
200	153.2856	13.9703	1030.6378	12.532445	0.10403192
200	153.5746	13.983464	1080.6906	12.732126	0.10205001
200	163.57401	14.431524	1181.4956	13.116295	0.079497933
200	111.4962	11.914754	662.48576	10.815816	0.086420834
200	163.4584	14.426424	1259.5989	13.39917	0.069125652
