
Contour in frame 261936 
( 120 , 25 )
( 119 , 25 )
( 118 , 25 )
( 117 , 25 )
( 116 , 25 )
( 115 , 25 )
( 114 , 25 )
( 113 , 25 )
( 112 , 25 )
( 111 , 25 )
( 110 , 25 )

Contour in frame 262144 
( 96 , 26 )
( 95 , 27 )
( 94 , 27 )
( 93 , 27 )
( 92 , 27 )
( 91 , 27 )
( 90 , 28 )
( 89 , 29 )
( 90 , 29 )
( 91 , 30 )
( 91 , 31 )
( 91 , 32 )
( 90 , 33 )
( 89 , 33 )
( 88 , 34 )
( 87 , 34 )
( 86 , 35 )
( 85 , 34 )
( 84 , 34 )
( 83 , 33 )
( 82 , 32 )
( 82 , 31 )
( 82 , 30 )
( 83 , 29 )
( 83 , 28 )
( 82 , 27 )
( 81 , 27 )
( 80 , 28 )
( 79 , 28 )
( 78 , 29 )
( 77 , 29 )
( 76 , 30 )
( 76 , 31 )
( 76 , 32 )
( 76 , 33 )
( 75 , 34 )
( 74 , 35 )
( 74 , 36 )
( 75 , 37 )
( 76 , 37 )
( 77 , 37 )
( 78 , 37 )
( 79 , 38 )
( 80 , 38 )
( 81 , 39 )
( 82 , 39 )
( 83 , 40 )
( 84 , 40 )
( 85 , 41 )
( 85 , 42 )
( 86 , 43 )
( 86 , 44 )
( 86 , 45 )
( 87 , 46 )
( 88 , 47 )
( 89 , 48 )
( 90 , 48 )
( 91 , 49 )
( 92 , 49 )
( 93 , 50 )
( 94 , 50 )
( 95 , 50 )
( 96 , 50 )
( 97 , 49 )
( 98 , 49 )
( 99 , 49 )
( 100 , 49 )
( 101 , 50 )
( 102 , 50 )
( 103 , 51 )
( 104 , 51 )
( 105 , 52 )
( 105 , 53 )
( 105 , 52 )
( 105 , 51 )
( 104 , 50 )
( 104 , 49 )
( 104 , 48 )
( 104 , 47 )
( 105 , 46 )
( 106 , 45 )
( 106 , 44 )
( 107 , 43 )
( 108 , 43 )
( 108 , 42 )
( 109 , 41 )
( 109 , 40 )
( 108 , 39 )
( 107 , 38 )
( 107 , 37 )
( 107 , 36 )
( 106 , 35 )
( 106 , 34 )
( 106 , 33 )
( 106 , 32 )
( 106 , 31 )
( 106 , 30 )
( 105 , 30 )
( 104 , 29 )
( 103 , 29 )
( 102 , 29 )
( 101 , 29 )
( 100 , 29 )
( 99 , 29 )
( 98 , 28 )
( 97 , 28 )
( 96 , 27 )

Contour in frame 262166 
( 38 , 23 )
( 37 , 24 )
( 36 , 24 )
( 35 , 24 )
( 34 , 24 )
( 33 , 24 )
( 32 , 25 )
( 31 , 25 )
( 30 , 25 )
( 29 , 25 )
( 28 , 26 )
( 27 , 26 )
( 26 , 26 )
( 25 , 27 )
( 24 , 27 )
( 23 , 27 )
( 22 , 28 )
( 21 , 28 )
( 20 , 29 )
( 19 , 29 )
( 18 , 30 )
( 17 , 31 )
( 16 , 31 )
( 15 , 32 )
( 14 , 33 )
( 13 , 33 )
( 12 , 34 )
( 11 , 35 )
( 10 , 35 )
( 9 , 36 )
( 8 , 36 )
( 7 , 37 )
( 8 , 38 )
( 9 , 39 )
( 9 , 40 )
( 9 , 41 )
( 9 , 42 )
( 9 , 43 )
( 10 , 44 )
( 10 , 45 )
( 11 , 46 )
( 12 , 47 )
( 13 , 48 )
( 14 , 49 )
( 15 , 49 )
( 16 , 50 )
( 17 , 50 )
( 18 , 51 )
( 19 , 51 )
( 20 , 52 )
( 21 , 52 )
( 22 , 53 )
( 23 , 53 )
( 24 , 53 )
( 25 , 54 )
( 26 , 54 )
( 27 , 54 )
( 28 , 55 )
( 29 , 55 )
( 30 , 55 )
( 31 , 55 )
( 32 , 55 )
( 33 , 55 )
( 34 , 55 )
( 35 , 55 )
( 36 , 55 )
( 37 , 56 )
( 38 , 56 )
( 39 , 56 )
( 40 , 56 )
( 41 , 56 )
( 42 , 56 )
( 43 , 56 )
( 44 , 56 )
( 45 , 56 )
( 46 , 56 )
( 47 , 56 )
( 48 , 56 )
( 49 , 56 )
( 50 , 56 )
( 51 , 56 )
( 52 , 56 )
( 53 , 56 )
( 54 , 56 )
( 55 , 56 )
( 56 , 57 )
( 57 , 57 )
( 58 , 57 )
( 59 , 57 )
( 60 , 56 )
( 61 , 56 )
( 62 , 56 )
( 63 , 56 )
( 64 , 56 )
( 63 , 55 )
( 63 , 54 )
( 63 , 53 )
( 62 , 52 )
( 62 , 51 )
( 62 , 50 )
( 62 , 49 )
( 62 , 48 )
( 61 , 47 )
( 61 , 46 )
( 61 , 45 )
( 61 , 44 )
( 61 , 43 )
( 61 , 42 )
( 61 , 41 )
( 61 , 40 )
( 61 , 39 )
( 60 , 38 )
( 60 , 37 )
( 60 , 36 )
( 60 , 35 )
( 60 , 34 )
( 60 , 33 )
( 59 , 32 )
( 59 , 31 )
( 59 , 30 )
( 58 , 29 )
( 58 , 28 )
( 58 , 27 )
( 58 , 26 )
( 58 , 25 )
( 57 , 24 )
( 56 , 23 )
( 55 , 23 )
( 54 , 23 )
( 53 , 23 )
( 52 , 23 )
( 51 , 23 )
( 50 , 23 )
( 49 , 23 )
( 48 , 23 )
( 47 , 23 )
( 46 , 23 )
( 45 , 23 )
( 44 , 23 )
( 43 , 23 )
( 42 , 23 )
( 41 , 23 )
( 40 , 23 )
( 39 , 23 )

Contour in frame 262185 
( 151 , 26 )
( 150 , 27 )
( 149 , 27 )
( 148 , 27 )
( 147 , 27 )
( 146 , 27 )
( 145 , 27 )
( 144 , 28 )
( 143 , 28 )
( 142 , 29 )
( 141 , 29 )
( 140 , 29 )
( 139 , 30 )
( 139 , 31 )
( 138 , 32 )
( 137 , 32 )
( 136 , 33 )
( 135 , 33 )
( 134 , 33 )
( 133 , 34 )
( 132 , 34 )
( 131 , 34 )
( 130 , 35 )
( 129 , 35 )
( 128 , 36 )
( 127 , 36 )
( 126 , 37 )
( 125 , 37 )
( 124 , 38 )
( 123 , 38 )
( 122 , 38 )
( 121 , 38 )
( 120 , 38 )
( 119 , 38 )
( 118 , 38 )
( 117 , 39 )
( 117 , 40 )
( 117 , 41 )
( 118 , 42 )
( 119 , 42 )
( 120 , 41 )
( 121 , 42 )
( 122 , 42 )
( 123 , 43 )
( 124 , 44 )
( 125 , 45 )
( 126 , 46 )
( 127 , 46 )
( 127 , 45 )
( 128 , 44 )
( 129 , 44 )
( 130 , 43 )
( 131 , 44 )
( 132 , 44 )
( 133 , 45 )
( 133 , 46 )
( 133 , 47 )
( 134 , 48 )
( 134 , 49 )
( 135 , 49 )
( 136 , 49 )
( 137 , 49 )
( 138 , 49 )
( 139 , 50 )
( 140 , 50 )
( 141 , 51 )
( 142 , 51 )
( 143 , 52 )
( 144 , 52 )
( 145 , 53 )
( 146 , 53 )
( 147 , 53 )
( 148 , 54 )
( 149 , 54 )
( 150 , 55 )
( 151 , 55 )
( 152 , 55 )
( 153 , 55 )
( 154 , 55 )
( 155 , 55 )
( 156 , 56 )
( 157 , 56 )
( 158 , 56 )
( 159 , 56 )
( 160 , 56 )
( 161 , 56 )
( 162 , 57 )
( 163 , 57 )
( 164 , 57 )
( 165 , 57 )
( 166 , 57 )
( 167 , 57 )
( 168 , 57 )
( 169 , 57 )
( 170 , 57 )
( 171 , 57 )
( 172 , 57 )
( 173 , 57 )
( 174 , 57 )
( 175 , 57 )
( 176 , 57 )
( 177 , 57 )
( 178 , 57 )
( 179 , 57 )
( 180 , 57 )
( 181 , 57 )
( 182 , 57 )
( 183 , 57 )
( 184 , 57 )
( 185 , 57 )
( 186 , 57 )
( 186 , 56 )
( 186 , 55 )
( 185 , 54 )
( 185 , 53 )
( 185 , 52 )
( 185 , 51 )
( 185 , 50 )
( 185 , 49 )
( 185 , 48 )
( 184 , 47 )
( 184 , 46 )
( 184 , 45 )
( 184 , 44 )
( 184 , 43 )
( 184 , 42 )
( 183 , 41 )
( 183 , 40 )
( 183 , 39 )
( 183 , 38 )
( 182 , 37 )
( 181 , 36 )
( 181 , 35 )
( 181 , 34 )
( 181 , 33 )
( 181 , 32 )
( 180 , 31 )
( 180 , 30 )
( 180 , 29 )
( 181 , 28 )
( 180 , 27 )
( 179 , 26 )
( 178 , 27 )
( 177 , 27 )
( 176 , 28 )
( 175 , 28 )
( 174 , 27 )
( 173 , 27 )
( 172 , 27 )
( 171 , 27 )
( 170 , 27 )
( 169 , 27 )
( 168 , 27 )
( 167 , 26 )
( 166 , 26 )
( 165 , 26 )
( 164 , 26 )
( 163 , 26 )
( 162 , 26 )
( 161 , 26 )
( 160 , 26 )
( 159 , 26 )
( 158 , 26 )
( 157 , 26 )
( 156 , 26 )
( 155 , 26 )
( 154 , 26 )
( 153 , 26 )
( 152 , 26 )

Contour in frame 262272 
( 200 , 23 )
( 199 , 24 )
( 198 , 24 )
( 197 , 24 )
( 196 , 24 )
( 195 , 24 )
( 194 , 24 )
( 193 , 24 )
( 192 , 24 )
( 191 , 24 )
( 190 , 25 )
( 189 , 25 )
( 188 , 25 )
( 187 , 26 )
( 186 , 26 )
( 185 , 27 )
( 184 , 27 )
( 183 , 27 )
( 182 , 27 )
( 181 , 28 )
( 180 , 29 )
( 179 , 29 )
( 179 , 30 )
( 178 , 31 )
( 177 , 31 )
( 176 , 32 )
( 175 , 33 )
( 175 , 34 )
( 174 , 35 )
( 173 , 36 )
( 173 , 37 )
( 173 , 38 )
( 173 , 39 )
( 173 , 40 )
( 174 , 41 )
( 174 , 42 )
( 174 , 43 )
