Conc_ugperml	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
0.0000    	32.0285   	1083.8445 	12.7445   	0.0272    	36.8092   
0.0000    	28.4695   	963.4067  	12.2538   	0.0233    	42.9778   
0.0000    	38.5777   	1305.4708 	13.5599   	0.0354    	28.2239   
0.0000    	27.2263   	921.3376  	12.0728   	0.0257    	38.9366   
0.0000    	33.0736   	1119.2120 	12.8816   	0.0309    	32.3221   
0.0000    	4.6425    	157.1023  	6.6947    	0.0137    	73.1157   
0.0000    	27.0138   	914.1468  	12.0413   	0.0209    	47.7598   
0.0000    	25.5050   	863.0881  	11.8128   	0.0186    	53.7014   
0.0000    	22.9322   	776.0269  	11.4014   	0.0195    	51.2227   
0.0000    	11.6076   	392.8011  	9.0864    	0.0143    	69.7088   
0.0000    	46.4769   	1572.7769 	14.4286   	0.0616    	16.2341   
0.0000    	31.0159   	1049.5781 	12.6088   	0.0277    	36.0995   
0.0000    	39.9651   	1352.4186 	13.7205   	0.0408    	24.4814   
0.0000    	32.8513   	1111.6875 	12.8527   	0.0245    	40.8165   
0.0000    	37.8015   	1279.2020 	13.4683   	0.0372    	26.8838   
0.0000    	30.6263   	1036.3926 	12.5557   	0.0284    	35.1717   
0.0000    	35.8470   	1213.0615 	13.2321   	0.0304    	32.8722   
0.0000    	38.9864   	1319.3010 	13.6076   	0.0393    	25.4427   
0.0000    	40.3289   	1364.7309 	13.7620   	0.0344    	29.0652   
0.0000    	23.9888   	811.7819  	11.5739   	0.0200    	49.9076   
0.0000    	28.0929   	950.6652  	12.1995   	0.0212    	47.0602   
0.0000    	31.8474   	1077.7148 	12.7204   	0.0293    	34.1103   
0.0000    	31.8843   	1078.9659 	12.7253   	0.0266    	37.6214   
0.0000    	29.1953   	987.9680  	12.3570   	0.0198    	50.5692   
0.0000    	8.6959    	294.2700  	8.2524    	0.0162    	61.6785   
0.0000    	28.3840   	960.5142  	12.2415   	0.0214    	46.7215   
0.0000    	40.1367   	1358.2267 	13.7401   	0.0444    	22.5046   
0.0000    	51.3101   	1736.3338 	14.9123   	0.0911    	10.9814   
0.0000    	32.9886   	1116.3355 	12.8706   	0.0261    	38.2437   
0.0000    	24.9323   	843.7078  	11.7237   	0.0259    	38.6115   
0.0000    	46.4767   	1572.7703 	14.4285   	0.0558    	17.9310   
0.0000    	23.0454   	779.8574  	11.4202   	0.0215    	46.5860   
0.0000    	30.1037   	1018.7098 	12.4839   	0.0224    	44.6308   
0.0000    	36.9289   	1249.6748 	13.3639   	0.0364    	27.4694   
0.0000    	33.6537   	1138.8427 	12.9565   	0.0267    	37.3864   
0.0000    	50.3635   	1704.3013 	14.8200   	0.0681    	14.6780   
0.0000    	28.2277   	955.2253  	12.2190   	0.0268    	37.2677   
0.0000    	38.1301   	1290.3213 	13.5072   	0.0413    	24.2345   
0.0000    	7.6444    	258.6866  	7.9054    	0.0245    	40.7566   
0.0000    	42.5502   	1439.8982 	14.0102   	0.0504    	19.8456   
0.0000    	51.6449   	1747.6619 	14.9447   	0.0759    	13.1807   
0.0000    	3.7471    	126.8035  	6.2332    	0.0110    	91.0728   
0.0000    	40.1147   	1357.4825 	13.7376   	0.0332    	30.1507   
